mean,std,sem,max,min,width,depth,solver,action
-52.15,54.67011622486459,3.865760991085845,-40.552717026742464,-63.74728297325753,1,3,POSS,left
-37.85,54.67011622486459,3.865760991085845,-26.252717026742467,-49.447282973257536,1,3,POSS,right
7.5,0,0,7.5,7.5,1,3,POSS,listen
8.5,0,0,8.5,8.5,1,3,POSS,wait
-37.85,54.67011622486459,3.865760991085845,-26.252717026742467,-49.447282973257536,1,3,POWSS,left
-52.15,54.67011622486459,3.865760991085845,-40.552717026742464,-63.74728297325753,1,3,POWSS,right
7.5,0,0,7.5,7.5,1,3,POWSS,listen
8.5,0,0,8.5,8.5,1,3,POWSS,wait
-46.43,22.55434754021548,1.5948332090924493,-41.64550037272265,-51.21449962727735,5,3,POSS,left
-43.57,22.55434754021548,1.5948332090924493,-38.78550037272265,-48.35449962727735,5,3,POSS,right
7.5,0,0,7.5,7.5,5,3,POSS,listen
8.5,0,0,8.5,8.5,5,3,POSS,wait
-43.35,22.53924550511171,1.59376533394929,-38.56870399815213,-48.13129600184787,5,3,POWSS,left
-46.65,22.53924550511171,1.59376533394929,-41.86870399815213,-51.43129600184787,5,3,POWSS,right
1.013539665050867,1.6988885062697199,0.12012955832632033,1.373928340029828,0.653150990071906,5,3,POWSS,listen
-1.5018658661971829,2.5930257071368996,0.18335460613075444,-0.9518020478049196,-2.051929684589446,5,3,POWSS,wait
-45.36666666666668,19.214395698206943,1.3586629494603757,-41.29067781828555,-49.44265551504781,9,3,POSS,left
-44.63333333333332,19.214395698206943,1.3586629494603757,-40.55734448495219,-48.70932218171445,9,3,POSS,right
7.5,0,0,7.5,7.5,9,3,POSS,listen
8.5,0,0,8.5,8.5,9,3,POSS,wait
-44.69444444444443,18.5394609852518,1.3109378582214979,-40.761630869779935,-48.62725801910892,9,3,POWSS,left
-45.30555555555556,18.5394609852518,1.3109378582214979,-41.372741980891064,-49.23836913022005,9,3,POWSS,right
0.5402182843450771,0.8918349524370393,0.06306225425674125,0.7294050471153009,0.3510315215748534,9,3,POWSS,listen
-2.1419514935379036,1.3888623743284112,0.09820740030224687,-1.847329292631163,-2.436573694444644,9,3,POWSS,wait
-44.61923076923078,15.381618861637234,1.0876447002690592,-41.3562966684236,-47.88216487003796,13,3,POSS,left
-45.38076923076922,15.381618861637234,1.0876447002690592,-42.11783512996204,-48.6437033315764,13,3,POSS,right
7.5,0,0,7.5,7.5,13,3,POSS,listen
8.5,0,0,8.5,8.5,13,3,POSS,wait
-43.773076923076935,14.98110125406587,1.0593238286392268,-40.595105437159255,-46.951048408994616,13,3,POWSS,left
-46.22692307692309,14.981101254065868,1.0593238286392266,-43.04895159100541,-49.404894562840774,13,3,POWSS,right
0.43216592066511245,0.48162960619241285,0.03405635605588615,0.5343349888327709,0.329996852497454,13,3,POWSS,listen
-2.454126159268399,0.9381624291269446,0.06633810154901063,-2.255111854621367,-2.653140463915431,13,3,POWSS,wait
-45.226470588235294,12.559631891666253,0.8881000879804033,-42.56217032429409,-47.8907708521765,17,3,POSS,left
-44.773529411764706,12.559631891666253,0.8881000879804033,-42.1092291478235,-47.43782967570591,17,3,POSS,right
7.5,0,0,7.5,7.5,17,3,POSS,listen
8.5,0,0,8.5,8.5,17,3,POSS,wait
-44.44999999999999,12.765662445717789,0.9026686481705495,-41.74199405548834,-47.158005944511636,17,3,POWSS,left
-45.55,12.765662445717789,0.9026686481705495,-42.84199405548835,-48.258005944511645,17,3,POWSS,right
0.3932268930518422,0.3227828878138092,0.02282419688241211,0.46169948369907854,0.3247543024046059,17,3,POWSS,listen
-2.667605424918994,0.5516252374890506,0.039005794610214736,-2.55058804108835,-2.7846228087496385,17,3,POWSS,wait
-46.25714285714286,11.709676010315066,0.8279991312391219,-43.77314546342549,-48.74114025086023,21,3,POSS,left
-43.74285714285714,11.709676010315066,0.8279991312391219,-41.25885974913977,-46.22685453657451,21,3,POSS,right
7.5,0,0,7.5,7.5,21,3,POSS,listen
8.5,0,0,8.5,8.5,21,3,POSS,wait
-43.769047619047605,11.329511813955047,0.8011174631180716,-41.36569522969339,-46.17240000840182,21,3,POWSS,left
-46.23095238095237,11.329511813955047,0.8011174631180716,-43.82759999159815,-48.634304770306585,21,3,POWSS,right
0.35334962011362203,0.24792757429047863,0.017531126902392898,0.4059430008208007,0.30075623940644336,21,3,POWSS,listen
-2.700161896157708,0.4835609040993774,0.034192919440536755,-2.597583137836098,-2.8027406544793183,21,3,POWSS,wait
-45.74800000000001,10.832766968831418,0.7659922982674336,-43.45002310519771,-48.045976894802315,25,3,POSS,left
-44.25199999999999,10.832766968831418,0.7659922982674336,-41.954023105197685,-46.54997689480229,25,3,POSS,right
7.5,0,0,7.5,7.5,25,3,POSS,listen
8.5,0,0,8.5,8.5,25,3,POSS,wait
-45.154,11.158082182433937,0.7889955576235828,-42.78701332712926,-47.52098667287075,25,3,POWSS,left
-44.846,11.158082182433937,0.7889955576235828,-42.47901332712925,-47.21298667287074,25,3,POWSS,right
0.34961605157333847,0.20136243559143094,0.014238474368294021,0.39233147467822055,0.3069006284684564,25,3,POWSS,listen
-2.7433514071419696,0.3654237098065998,0.02583935832105918,-2.665833332178792,-2.820869482105147,25,3,POWSS,wait
-44.12758620689656,9.662775801644933,0.683261429442841,-42.077801918568035,-46.177370495225084,29,3,POSS,left
-45.87241379310344,9.662775801644933,0.683261429442841,-43.822629504774916,-47.922198081431965,29,3,POSS,right
7.5,0,0,7.5,7.5,29,3,POSS,listen
8.5,0,0,8.5,8.5,29,3,POSS,wait
-46.23275862068967,9.540243368195588,0.6745970779821089,-44.208967386743346,-48.256549854636,29,3,POWSS,left
-43.76724137931036,9.540243368195588,0.6745970779821089,-41.74345014536404,-45.79103261325669,29,3,POWSS,right
0.3608386785620047,0.14951446229918472,0.01057226901772139,0.39255548561516884,0.32912187150884054,29,3,POWSS,listen
-2.7995527229817907,0.23919556644316867,0.016913680706172194,-2.748811680863274,-2.8502937651003073,29,3,POWSS,wait
-44.31666666666666,8.934262683227361,0.6317477728211986,-42.421423348203064,-46.21190998513026,33,3,POSS,left
-45.68333333333334,8.934262683227361,0.6317477728211986,-43.78809001486974,-47.578576651796936,33,3,POSS,right
7.5,0,0,7.5,7.5,33,3,POSS,listen
8.5,0,0,8.5,8.5,33,3,POSS,wait
-44.600000000000016,9.549073931730623,0.6752214931178411,-42.57433552064649,-46.62566447935354,33,3,POWSS,left
-45.400000000000034,9.549073931730623,0.6752214931178411,-43.37433552064651,-47.42566447935356,33,3,POWSS,right
0.36468125541230006,0.16229284122233112,0.011475836856634199,0.3991087659822027,0.33025374484239745,33,3,POWSS,listen
-2.7951340650453975,0.2747241854809251,0.0194259334509513,-2.736856264692544,-2.853411865398251,33,3,POWSS,wait
-44.42027027027027,8.827304610099816,0.6241846949400852,-42.547716185450014,-46.29282435509053,37,3,POSS,left
-45.57972972972973,8.827304610099816,0.6241846949400852,-43.70717564490947,-47.452283814549986,37,3,POSS,right
7.5,0,0,7.5,7.5,37,3,POSS,listen
8.5,0,0,8.5,8.5,37,3,POSS,wait
-45.08918918918919,9.064193292594554,0.6409352543179229,-43.16638342623542,-47.01199495214296,37,3,POWSS,left
-44.91081081081083,9.064193292594556,0.640935254317923,-42.98800504785706,-46.8336165737646,37,3,POWSS,right
0.36759927712590723,0.1399577267515468,0.009896505766547261,0.397288794425549,0.3379097598262655,37,3,POWSS,listen
-2.8264769568144383,0.15973075721441596,0.011294670159037557,-2.792592946337326,-2.860360967291551,37,3,POWSS,wait
-44.892682926829266,9.339897951868991,0.660430517735691,-42.911391373622195,-46.87397448003634,41,3,POSS,left
-45.107317073170734,9.339897951868991,0.660430517735691,-43.12602551996366,-47.088608626377805,41,3,POSS,right
7.5,0,0,7.5,7.5,41,3,POSS,listen
8.5,0,0,8.5,8.5,41,3,POSS,wait
-45.174390243902444,8.808696143278654,0.6228688776324124,-43.305783611005204,-47.042996876799684,41,3,POWSS,left
-44.82560975609753,8.808696143278656,0.6228688776324125,-42.95700312320029,-46.69421638899477,41,3,POWSS,right
0.3656663656247574,0.12650671932389138,0.008945375909958683,0.39250249335463344,0.33883023789488137,41,3,POWSS,listen
-2.8237120732058245,0.1690049234512801,0.011950452742631353,-2.7878607149779304,-2.8595634314337186,41,3,POWSS,wait
